ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19097,PSYC,3006,3,Lecture,4,Frederick Smyth,TuTh 8:30am - 9:20am,Gilmer Hall 190,Research Methods and Data Analysis II,,Open,16,75,0
12308,PSYC,3210,1,Laboratory,3,Erin Clabough,Tu 9:00am - 11:30am,Contact Department,RM: Psychobiology Laboratory,,Open,6,24,0
13521,PSYC,3310,1,Lecture,3,M. Joseph Meyer,We 2:00pm - 3:00pm,Web-Based Course,RM: R Applications in Psychology,,Wait List,20,20,26
13453,PSYC,3450,1,Lecture,3,Lanice Avery,TuTh 3:30pm - 4:45pm,Gilmer Hall 190,The Psychology of Women and Gender,,Open,30,150,0
13454,PSYC,3490,1,Lecture,3,Tobias Grossmann,TuTh 11:00am - 12:15pm,Gilmer Hall 190,Infant Development,,Wait List,150,150,2
19656,PSYC,3500,1,SEM,3,Chandra Mason,Th 3:30pm - 6:00pm,Dell 2 100,Special Topics in Psychology,RM: Social Psychology,Open,9,36,0
19783,PSYC,3559,1,Lecture,3,Chad Dodson,Tu 9:00am - 11:30am,Contact Department,New Course in Psychology,Advanced Research in Psychology,Open,2,25,0
10477,PSYC,3590,1,IND,3-Feb,Joseph Allen,TBA,TBA,Research in Psychology,,Open,0,30,0
10627,PSYC,3590,2,IND,3-Feb,Steven Boker,TBA,TBA,Research in Psychology,,Open,0,30,0
13866,PSYC,3590,3,IND,3-Feb,Daniel Meliza,TBA,TBA,Research in Psychology,,Open,0,30,0
19936,PSYC,3590,4,IND,3-Feb,Adrienne Wood,TBA,TBA,Research in Psychology,,Open,0,30,0
10628,PSYC,3590,5,IND,3-Feb,Gerald Clore,TBA,TBA,Research in Psychology,,Open,0,30,0
10629,PSYC,3590,6,IND,3-Feb,James Coan,TBA,TBA,Research in Psychology,,Open,0,30,0
10630,PSYC,3590,7,IND,3-Feb,Benjamin Converse,TBA,TBA,Research in Psychology,,Open,0,30,0
19937,PSYC,3590,8,IND,3-Feb,Noelle Hurd,TBA,TBA,Research in Psychology,,Open,0,30,0
10631,PSYC,3590,9,IND,3-Feb,Chad Dodson,TBA,TBA,Research in Psychology,,Open,1,30,0
19989,PSYC,3590,10,IND,3-Feb,Eric Turkheimer,TBA,TBA,Research in Psychology,,Open,0,30,0
10632,PSYC,3590,11,IND,3-Feb,Alev Erisir,TBA,TBA,Research in Psychology,,Open,0,30,0
10633,PSYC,3590,15,IND,3-Feb,Vikram Jaswal,TBA,TBA,Research in Psychology,,Open,0,30,0
10634,PSYC,3590,19,IND,3-Feb,Angeline Lillard,TBA,TBA,Research in Psychology,,Open,0,30,0
10635,PSYC,3590,22,IND,3-Feb,James Morris,TBA,TBA,Research in Psychology,,Open,0,30,0
10636,PSYC,3590,26,IND,3-Feb,Charlotte Patterson,TBA,TBA,Research in Psychology,,Open,0,30,0
10638,PSYC,3590,34,IND,3-Feb,Bethany Teachman,TBA,TBA,Research in Psychology,,Open,0,30,0
10639,PSYC,3590,36,IND,3-Feb,Sophie Trawalter,TBA,TBA,Research in Psychology,,Open,0,30,0
10640,PSYC,3590,39,IND,3-Feb,Cedric Williams,TBA,TBA,Research in Psychology,,Open,0,30,0
11351,PSYC,3590,41,IND,3-Feb,Melvin Wilson,TBA,TBA,Research in Psychology,,Open,0,30,0
11352,PSYC,3590,42,IND,3-Feb,Timothy Wilson,TBA,TBA,Research in Psychology,,Open,0,30,0
11441,PSYC,3590,44,IND,3-Feb,Beverly Adams,TBA,TBA,Research in Psychology,,Open,0,30,0
11566,PSYC,3590,45,IND,3-Feb,Noelle Hurd,TBA,TBA,Research in Psychology,,Open,0,30,0
11851,PSYC,3590,46,IND,3-Feb,Jessica Connelly,TBA,TBA,Research in Psychology,,Open,0,30,0
11852,PSYC,3590,47,IND,3-Feb,Tobias Grossmann,TBA,TBA,Research in Psychology,,Open,0,30,0
11853,PSYC,3590,49,IND,3-Feb,Amrisha Vaish,TBA,TBA,Research in Psychology,,Open,0,30,0
11946,PSYC,3590,51,IND,3-Feb,Frederick Smyth,TBA,TBA,Research in Psychology,,Open,0,40,0
12680,PSYC,3590,55,IND,3-Feb,Per Sederberg,TBA,TBA,Research in Psychology,,Open,0,30,0
20034,PSYC,3590,56,IND,3-Feb,Gabrielle Adams,TBA,TBA,Research in Psychology,,Open,0,30,0
20035,PSYC,3590,57,IND,3-Feb,Lanice Avery,TBA,TBA,Research in Psychology,,Open,0,30,0
